wmo,name,country,latitude,longitude,source,epw_url
363070,Erzin,RUS,50.258,95.171,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/TY_Tuva/RUS_TY_Erzin.363070_TMYx.2007-2021.zip
241050,Essey,RUS,68.467,102.167,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Essey.241050_TMYx.zip
323630,Esso,RUS,55.933,158.667,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KAM_Kamchatka/RUS_KAM_Esso.323630_TMYx.zip
243380,Eyik,RUS,66.033,117.4,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Eyik.243380_TMYx.2007-2021.zip
202920,Fedorova Obs,RUS,77.713,104.292,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Fedorova.Obs.202920_TMYx.2007-2021.zip
288360,Fershampenuaz,RUS,53.517,59.8,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/CHE_Chelyabinsk/RUS_CHE_Fershampenuaz.288360_TMYx.zip
313970,Fevralsk,RUS,52.45,130.867,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Fevralsk.313970_TMYx.zip
343560,Frolovo,RUS,49.8,43.667,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/VGG_Volgograd/RUS_VGG_Frolovo.343560_TMYx.2007-2021.zip
319930,Furmanovo,RUS,43.983,134.683,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PRI_Primorsky/RUS_PRI_Furmanovo.319930_TMYx.zip
275070,Gagarin,RUS,55.517,35.033,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/SMO_Smolensk/RUS_SMO_Gagarin.275070_TMYx.2007-2021.zip
318510,Gamcanza,RUS,46.683,136.267,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PRI_Primorsky/RUS_PRI_Gamcanza.318510_TMYx.zip
325320,Ganaly,RUS,53.7,157.633,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KAM_Kamchatka/RUS_KAM_Ganaly.325320_TMYx.zip
313840,Gar,RUS,52.567,129.067,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Gar.313840_TMYx.zip
280490,Gari,RUS,59.433,62.333,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SVE_Sverdlovsk/RUS_SVE_Gari.280490_TMYx.2007-2021.zip
239090,Gayny AP,RUS,60.2875,54.3342,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PER_Perm/RUS_PER_Gayny.AP.239090_TMYx.2007-2021.zip
